"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 08 13:21:55 GMT 2024","Mon Jul 08 13:22:09 GMT 2024","14205","","Web App change password tests","","","","User is able to change password and login in Web App with a new one",""
"broken","Mon Jul 08 13:21:40 GMT 2024","Mon Jul 08 13:21:40 GMT 2024","1","","Activity Flows availability depending on Event type tests","","","","""before all"" hook for Activity Flows availability depending on Event type tests",""
"broken","Mon Jul 08 13:21:10 GMT 2024","Mon Jul 08 13:21:10 GMT 2024","1","","Arbitrary server tests","","","","""before all"" hook for Arbitrary server tests",""
"broken","Mon Jul 08 13:21:40 GMT 2024","Mon Jul 08 13:21:40 GMT 2024","1","","Activity settings and actions tests","","","","""before all"" hook for Activity settings and actions tests",""
"broken","Mon Jul 08 13:22:43 GMT 2024","Mon Jul 08 13:22:43 GMT 2024","1","","Items settings tests","","","","""before all"" hook for Items settings tests",""
"broken","Mon Jul 08 13:23:43 GMT 2024","Mon Jul 08 13:23:57 GMT 2024","13898","","Web App login and registration tests","","","","Positive registration test",""
"broken","Mon Jul 08 13:23:22 GMT 2024","Mon Jul 08 13:23:22 GMT 2024","2","","Items Flow tests (value conditions)","","","","""before all"" hook for Items Flow tests (value conditions)",""
"broken","Mon Jul 08 13:24:29 GMT 2024","Mon Jul 08 13:24:38 GMT 2024","9053","","Web App login and registration tests: Negative Login tests","","","","Incorrect email or password",""
"broken","Mon Jul 08 13:23:57 GMT 2024","Mon Jul 08 13:24:11 GMT 2024","13904","","Web App login and registration tests","","","","Negative registration test (user already exist)",""
"broken","Mon Jul 08 13:22:56 GMT 2024","Mon Jul 08 13:22:56 GMT 2024","1","","Items Flow tests (chained and other conditions)","","","","""before all"" hook for Items Flow tests (chained and other conditions)",""
"broken","Mon Jul 08 13:22:13 GMT 2024","Mon Jul 08 13:22:13 GMT 2024","2","","Alerts tests","","","","""before all"" hook for Alerts tests",""
"broken","Mon Jul 08 13:24:11 GMT 2024","Mon Jul 08 13:24:20 GMT 2024","9156","","Web App login and registration tests","","","","Logout test",""
"broken","Mon Jul 08 13:23:13 GMT 2024","Mon Jul 08 13:23:13 GMT 2024","2","","Items Flow tests (option conditions)","","","","""before all"" hook for Items Flow tests (option conditions)",""
"broken","Mon Jul 08 13:22:13 GMT 2024","Mon Jul 08 13:22:13 GMT 2024","1","","Activity availability depending on Event type tests","","","","""before all"" hook for Activity availability depending on Event type tests",""
"broken","Mon Jul 08 13:21:40 GMT 2024","Mon Jul 08 13:21:40 GMT 2024","1","","Web App Activity Flows tests","","","","""before all"" hook for Web App Activity Flows tests",""
"broken","Mon Jul 08 13:22:43 GMT 2024","Mon Jul 08 13:22:43 GMT 2024","1","","Web App different activity items tests","","","","""before all"" hook for Web App different activity items tests",""
"broken","Mon Jul 08 13:23:34 GMT 2024","Mon Jul 08 13:23:43 GMT 2024","9303","","Web App login and registration tests","","","","Positive Login test",""
"failed","Mon Jul 08 13:23:35 GMT 2024","Mon Jul 08 13:23:48 GMT 2024","13439","","Web App reset password tests: User is able to reset password and login in Web App with a new one","","","","Set typical 6-char new password",""
